status,city,year,state,total_tract_income,total_households_with_income,percent_householdsbelow50k_of_total,total_households_income_below_50k,total_households_income_50k_and_100k,total_households_income_100k_plus,bucket_annual_income_household,median_annual_income_individual,total_housing_units,occupied_housing_units,vacant_housing_units,median_monthly_housing_costs,total_households,total_rent_burden_normal,total_rent_burden_moderate,total_rent_burden_severe,percent_rent_burden_normal,percent_rent_burden_moderate,percent_rent_burden_severe,median_gross_rent_burden,avg_household_size,total_population,total_25_and_older,total_highest_not_graduate_hs,total_highest_graduate_hs,total_highest_college_degree,percent_graduate_hs,percent_no_college_degree,percent_college_degree,total_3_to_24,total_enrolled_pre_college,total_enrolled_higher_education,total_not_enrolled,total_employable,total_employed,complete_plumbing_occupied_housing,lacking_plumbing_occupied_housing,total_all_races,total_white_non_hispanic,total_african_american,total_native_american,total_asian,total_hispanic,total_other,percent_african_american,percent_native_american,percent_hispanic,percent_urm,total_all_ages,total_0_4,total_5_17,total_18_24,total_25_39,total_40_54,total_55_64,total_65_plus,percent_0_4,percent_5_17,percent_18_24,percent_children,percent_youth,percent_elderly
banked,Rifle,2019,CO,369435600,4834,34.71245345,1678,1931,1225,132899,70966,5211,4834,377,2156,1380,618,304,217,44.7826087,,,57.7,5.59,13951,8874,1437,5014,2423,83.8066261,72.69551499,27.30448501,4600,3182,240,1178,10552,7551,4834,0,13951,8833,34,136,57,3413,1478,0.2437101283,0.9748405132,24.46419611,25.68274676,13951,761,2949,1367,3218,2451,1770,1435,5.454806107,21.13826966,9.798580747,26.59307577,36.39165651,10.286001
banked,Ripon,2019,WI,285182400,3854,46.15983394,1779,1206,869,111910,58786,4064,3854,210,1610,1432,746,391,200,52.09497207,,,50.9,4.31,9128,6238,695,3584,1959,88.85860853,68.59570375,31.40429625,2637,1373,826,438,7574,4949,3794,60,9128,8451,37,68,88,318,166,0.4053461876,0.7449605609,3.483786152,4.634092901,9128,518,1273,1099,1588,1516,1242,1892,5.674846626,13.94609991,12.0398773,19.62094654,31.66082384,20.72743208
banked,River Forest,2019,IL,915624700,3971,13.87559809,551,962,2458,257253,134272,4266,3971,295,4520,446,283,79,84,63.4529148,,,50.6,5.09,10970,6885,64,1056,5765,99.07044299,16.26724764,83.73275236,3731,2393,1073,265,8442,5457,3930,41,10970,9020,679,0,423,327,521,6.189608022,0,2.980856882,9.170464904,10970,643,2164,1278,1143,2425,1482,1835,5.861440292,19.72652689,11.64995442,25.58796718,37.2379216,16.72743847
banked,Robbinsville Twp,2019,NJ,622332100,3632,16.71255507,607,599,2426,154291,63657,3748,3632,116,2257,451,184,102,152,40.79822616,,,38.6,2.71,9835,6916,254,1884,4778,96.32735685,30.91382302,69.08617698,2760,2242,272,246,7801,6010,3632,0,9835,6121,622,0,2387,298,407,6.324351805,0,3.029994916,9.354346721,9835,344,2038,537,1613,3024,1231,1048,3.497712252,20.72191154,5.46009151,24.21962379,29.6797153,10.65582105
banked,Rochester,2019,IN,410736900,5951,46.83246513,2787,2171,993,216298,114065,7527,5951,1576,2971,1571,749,429,298,47.67663908,,,108.5,10.16,15267,10434,1119,6794,2521,89.27544566,75.83860456,24.16139544,4324,2982,488,854,12005,7327,5951,0,15267,14278,160,21,90,304,414,1.048012052,0.1375515818,1.991222899,3.176786533,15267,773,2863,1197,2528,2810,2129,2967,5.063208227,18.75286566,7.840440165,23.81607388,31.65651405,19.43407349
banked,Rochester,2019,MI,1157425400,7010,19.21540656,1347,1494,4169,740695,341378,7491,7010,481,10248,1318,707,254,312,53.64188164,,,123.8,15.74,18565,12510,202,3407,8901,98.38529177,28.84892086,71.15107914,5651,4037,827,787,14553,9877,6991,19,18565,15992,413,11,1129,601,419,2.224616213,0.05925127929,3.237274441,5.521141934,18565,777,3759,1519,2696,4644,2427,2743,4.18529491,20.24777808,8.182063022,24.43307299,32.61513601,14.77511446
banked,Rochester,2019,MN,4853223300,50029,33.50856503,16764,15919,17346,2053513,1083730,52722,50029,2693,30263,15416,7890,3048,3630,51.18059159,,,803.1,66.41,122538,83330,4959,31011,47360,94.04896196,43.16572663,56.83427337,34301,22565,3613,8123,96729,68178,49771,258,122538,93913,9392,546,8202,5182,5303,7.664561197,0.4455760662,4.228892262,12.33902953,122538,8421,20353,10434,27271,21915,15273,18871,6.872153944,16.60954153,8.514909661,23.48169547,31.99660513,15.40012078
banked,Rochester,2019,NH,991311100,12780,40.3599374,5158,4570,3052,390092,183673,13522,12780,742,7010,4179,2188,777,1068,52.35702321,,,196.4,14.67,30955,21983,2324,12410,7249,89.42819451,67.02451895,32.97548105,8394,5343,755,2296,25538,16475,12577,203,30955,28561,212,18,580,609,975,0.6848651268,0.05814892586,1.967371992,2.710386044,30955,1243,4954,2775,5645,6417,4352,5569,4.01550638,16.0038766,8.96462607,20.01938298,28.98400905,17.99063156
banked,Rockville,2019,MD,11832566800,69734,18.17334442,12673,16138,40923,5196613,2284354,72971,69734,3237,86574,23600,12539,5576,4730,53.13135593,,,1005.1,106.01,190124,134378,9933,30283,94162,92.60816503,29.9275179,70.0724821,49866,34617,6858,8391,154160,107144,69587,147,190124,97310,17380,523,36369,18177,20365,9.141402453,0.2750836296,9.560602554,18.97708864,190124,9805,31088,14853,36557,39834,26171,31816,5.15716059,16.3514338,7.812269887,21.50859439,29.32086428,16.7343418
banked,Roseville,2019,CA,5079166500,45453,26.88931424,12222,13679,19552,2365981,1161943,47687,45453,2234,46241,16165,7449,4700,3152,46.08103928,,,829.2,70.75,121511,83982,4652,36404,42926,94.46071777,48.88666619,51.11333381,33483,22102,4253,7128,98015,61465,45381,72,121511,84157,2527,855,10779,12325,10868,2.07964711,0.7036399997,10.14311462,12.92640172,121511,7042,20190,10297,23876,24530,14947,20629,5.795360091,16.61577964,8.474129914,22.41113973,30.88526965,16.9770638
