status,city,year,state,total_tract_income,total_households_with_income,percent_householdsbelow50k_of_total,total_households_income_below_50k,total_households_income_50k_and_100k,total_households_income_100k_plus,bucket_annual_income_household,median_annual_income_individual,total_housing_units,occupied_housing_units,vacant_housing_units,median_monthly_housing_costs,total_households,total_rent_burden_normal,total_rent_burden_moderate,total_rent_burden_severe,percent_rent_burden_normal,percent_rent_burden_moderate,percent_rent_burden_severe,median_gross_rent_burden,avg_household_size,total_population,total_25_and_older,total_highest_not_graduate_hs,total_highest_graduate_hs,total_highest_college_degree,percent_graduate_hs,percent_no_college_degree,percent_college_degree,total_3_to_24,total_enrolled_pre_college,total_enrolled_higher_education,total_not_enrolled,total_employable,total_employed,complete_plumbing_occupied_housing,lacking_plumbing_occupied_housing,total_all_races,total_white_non_hispanic,total_african_american,total_native_american,total_asian,total_hispanic,total_other,percent_african_american,percent_native_american,percent_hispanic,percent_urm,total_all_ages,total_0_4,total_5_17,total_18_24,total_25_39,total_40_54,total_55_64,total_65_plus,percent_0_4,percent_5_17,percent_18_24,percent_children,percent_youth,percent_elderly
banked,Aberdeen,2019,MS,3.59E+08,5980,58.64548495,3507,1601,872,160864,101229,7179,5980,1199,2280,1704,754,417,218,44.24882629,24.47183099,12.79342723,100.2,10.21,15785,11005,2254,6381,2370,79.51840073,78.46433439,21.53566561,4437,3072,217,1148,12475,6570,5920,60,15785,7271,8125,7,0,317,65,51.47291733,0.044345898,2.008235667,53.52549889,15785,907,2851,1022,3148,2848,2208,2801,5.745961356,18.06145074,6.474501109,23.8074121,30.28191321,17.74469433
banked,Moapa Valley,2019,NV,3.45E+07,670,59.55223881,399,172,99,43846,20625,893,670,223,574,142,62,8,63,43.66197183,5.633802817,44.36619718,32.8,2.17,1451,1054,151,713,190,85.67362429,81.97343454,18.02656546,292,206,0,86,1142,513,670,0,1451,1265,0,0,0,186,0,0,0,12.81874569,12.81874569,1451,164,184,49,196,238,253,367,11.30254997,12.68090972,3.376981392,23.98345968,27.36044108,25.29290145
banked,Cookeville,2019,TN,1.70E+09,27824,56.3793847,15687,7570,4567,554223,314439,29960,27824,2136,9463,10988,4755,2464,2695,43.27448125,22.42446305,24.52675646,410.8,29.78,67556,43425,5376,23586,14463,87.62003454,66.69430052,33.30569948,21876,9847,6996,5033,55588,32795,27793,31,67556,60537,1627,214,964,2582,1632,2.408372313,0.3167742317,3.822014329,6.547160874,67556,3589,10024,10518,12626,11819,7829,11151,5.312629522,14.83806028,15.56930547,20.1506898,35.71999526,16.50630588
banked,Abbeville,2019,AL,1.01E+08,1747,60.33199771,1054,487,206,75913,40966,2358,1747,611,1071,468,202,48,100,43.16239316,10.25641026,21.36752137,51,4.72,4309,3083,761,1586,736,75.31625041,76.12714888,23.87285112,1136,661,61,414,3599,1587,1726,21,4309,2134,1950,30,0,93,102,45.25411929,0.6962172198,2.158273381,48.10860989,4309,201,621,404,598,802,589,1094,4.664655372,14.41169645,9.375725226,19.07635182,28.45207705,25.38872128
banked,Grand Terrace,2019,CA,5.12E+08,6403,38.0915196,2439,2243,1721,243140,134902,7119,6403,716,5403,3313,1414,931,870,42.68035014,28.10141865,26.26018714,124.4,11.28,18063,12450,1365,6744,4341,89.03614458,65.13253012,34.86746988,4950,3393,482,1075,14205,9325,6397,6,18063,6382,1558,23,1605,5069,3426,8.625366772,0.1273321154,28.06289099,36.81558988,18063,1149,3029,1435,4876,3193,1988,2393,6.36106959,16.76908598,7.944416764,23.13015557,31.07457233,13.24807618
banked,Canyon,2019,TX,5.54E+08,6195,45.50443906,2819,1480,1896,167471,82279,7096,6195,901,2836,2499,1065,437,832,42.61704682,17.4869948,33.29331733,93.7,7.85,17860,9983,589,4530,4864,94.09996995,51.27717119,48.72282881,7401,2953,3132,1316,14666,10206,6195,0,17860,14241,447,84,129,1960,999,2.502799552,0.470324748,10.97424412,13.94736842,17860,874,2867,4136,3391,2721,1774,2097,4.893617021,16.05263158,23.15789474,20.9462486,44.10414334,11.74132139
banked,Kirby,2019,VT,6.45E+07,880,46.70454545,411,302,167,58056,29496,1375,880,495,938,149,63,30,28,42.28187919,20.13422819,18.79194631,29.4,2.36,2079,1474,115,713,646,92.19810041,56.17367707,43.82632293,518,361,49,108,1664,1127,875,5,2079,1974,8,13,10,6,68,0.3848003848,0.6253006253,0.2886002886,1.298701299,2079,136,332,137,360,422,330,362,6.541606542,15.96921597,6.58970659,22.51082251,29.1005291,17.41221741
banked,Hiram,2019,ME,7.37E+07,1177,56.15972812,661,363,153,45023,19986,1749,1177,572,747,218,91,28,56,41.74311927,12.8440367,25.68807339,29.1,2.7,3174,2377,347,1488,542,85.40176693,77.19814893,22.80185107,743,440,73,230,2734,1470,1174,3,3174,2959,0,45,3,21,146,0,1.417769376,0.6616257089,2.079395085,3174,118,395,284,558,584,570,665,3.717706364,12.44486452,8.947700063,16.16257089,25.11027095,20.95148078
banked,Keokuk,2019,IA,2.56E+08,4628,59.83146067,2769,1285,574,150933,94979,5314,4628,686,2614,1701,703,509,369,41.32863022,29.92357437,21.69312169,130,9.11,10784,7327,650,4635,2042,91.12870206,72.13047632,27.86952368,2995,2027,69,899,8382,5120,4613,15,10784,9435,480,15,159,198,497,4.451038576,0.1390949555,1.836053412,6.426186944,10784,731,1951,775,1973,1729,1489,2136,6.778560831,18.09161721,7.1865727,24.87017804,32.05675074,19.80712166
banked,Everman,2019,TX,1.22E+08,1953,59.85663082,1169,491,293,43049,23472,2220,1953,267,834,411,169,78,117,41.11922141,18.97810219,28.46715328,30.8,3.22,6301,3914,971,2410,533,75.19161983,86.38221768,13.61778232,2178,1532,137,509,4643,2855,1953,0,6301,1341,1571,0,50,1992,1347,24.93255039,0,31.61402952,56.54657991,6301,373,1490,524,1121,1423,725,645,5.919695286,23.64704015,8.316140295,29.56673544,37.88287573,10.2364704
